departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:10, 2025-06-16 05:13, 2, taxi, 15, walk, 05
2025-06-16 02:21, 2025-06-16 05:13, 2, taxi, 34, walk, 05
2025-06-16 02:39, 2025-06-16 05:43, 2, taxi, 33, walk, 05
2025-06-16 03:08, 2025-06-16 07:13, 3, walk, 05, walk, 05
2025-06-16 03:15, 2025-06-16 06:13, 2, taxi, 15, walk, 05
2025-06-16 03:21, 2025-06-16 06:13, 2, taxi, 34, walk, 05
2025-06-16 04:15, 2025-06-16 07:13, 2, taxi, 15, walk, 05
2025-06-16 04:21, 2025-06-16 07:13, 2, taxi, 34, walk, 05
2025-06-16 04:43, 2025-06-16 08:13, 4, walk, 05, walk, 05
2025-06-16 04:43, 2025-06-16 08:23, 3, walk, 05, walk, 05
2025-06-16 05:00, 2025-06-16 08:23, 2, taxi, 15, walk, 05
2025-06-16 05:15, 2025-06-16 08:13, 3, taxi, 15, walk, 05
2025-06-16 05:15, 2025-06-16 08:43, 2, taxi, 15, walk, 05
2025-06-16 05:21, 2025-06-16 08:13, 3, taxi, 34, walk, 05
2025-06-16 05:43, 2025-06-16 09:13, 3, walk, 05, walk, 05
2025-06-16 06:08, 2025-06-16 10:13, 4, walk, 05, walk, 05
2025-06-16 06:08, 2025-06-16 10:23, 3, walk, 05, walk, 05
2025-06-16 06:15, 2025-06-16 09:13, 2, taxi, 15, walk, 05
2025-06-16 06:21, 2025-06-16 09:13, 2, taxi, 34, walk, 05
2025-06-16 07:00, 2025-06-16 10:23, 2, taxi, 15, walk, 05
2025-06-16 07:08, 2025-06-16 11:13, 3, walk, 05, walk, 05
2025-06-16 07:15, 2025-06-16 10:13, 3, taxi, 15, walk, 05
2025-06-16 07:15, 2025-06-16 10:43, 2, taxi, 15, walk, 05
2025-06-16 07:18, 2025-06-16 11:18, 6, walk, 05, walk, 05
2025-06-16 07:18, 2025-06-16 11:23, 5, walk, 05, walk, 05
2025-06-16 07:21, 2025-06-16 10:13, 3, taxi, 34, walk, 05
2025-06-16 07:21, 2025-06-16 10:22, 2, taxi, 34, walk, 06
2025-06-16 08:08, 2025-06-16 12:13, 4, walk, 05, walk, 05
2025-06-16 08:08, 2025-06-16 12:23, 3, walk, 05, walk, 05
2025-06-16 08:15, 2025-06-16 11:13, 2, taxi, 15, walk, 05
2025-06-16 08:21, 2025-06-16 11:13, 2, taxi, 34, walk, 05
2025-06-16 09:00, 2025-06-16 12:23, 2, taxi, 15, walk, 05
2025-06-16 09:08, 2025-06-16 13:02, 3, walk, 05, walk, 06
2025-06-16 09:14, 2025-06-16 13:02, 4, walk, 05, walk, 06
2025-06-16 09:15, 2025-06-16 12:13, 3, taxi, 15, walk, 05
2025-06-16 09:15, 2025-06-16 12:43, 2, taxi, 15, walk, 05
2025-06-16 09:21, 2025-06-16 12:13, 3, taxi, 34, walk, 05
2025-06-16 10:00, 2025-06-16 13:02, 2, taxi, 15, walk, 06
2025-06-16 10:08, 2025-06-16 14:13, 4, walk, 05, walk, 05
2025-06-16 10:08, 2025-06-16 14:23, 3, walk, 05, walk, 05
2025-06-16 10:15, 2025-06-16 13:13, 2, taxi, 15, walk, 05
