departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:10, 2025-06-16 05:13, 2, taxi, 15, walk, 05
2025-06-16 03:08, 2025-06-16 07:13, 3, walk, 05, walk, 05
2025-06-16 04:43, 2025-06-16 08:13, 4, walk, 05, walk, 05
2025-06-16 04:43, 2025-06-16 08:23, 3, walk, 05, walk, 05
2025-06-16 05:43, 2025-06-16 09:13, 3, walk, 05, walk, 05
2025-06-16 06:08, 2025-06-16 10:13, 4, walk, 05, walk, 05
2025-06-16 06:08, 2025-06-16 10:23, 3, walk, 05, walk, 05
2025-06-16 07:08, 2025-06-16 11:13, 3, walk, 05, walk, 05
2025-06-16 07:18, 2025-06-16 11:18, 6, walk, 05, walk, 05
2025-06-16 07:18, 2025-06-16 11:23, 5, walk, 05, walk, 05
2025-06-16 08:08, 2025-06-16 12:13, 4, walk, 05, walk, 05
2025-06-16 08:08, 2025-06-16 12:23, 3, walk, 05, walk, 05
2025-06-16 09:08, 2025-06-16 13:02, 3, walk, 05, walk, 06
2025-06-16 09:14, 2025-06-16 13:02, 4, walk, 05, walk, 06
2025-06-16 10:08, 2025-06-16 14:13, 4, walk, 05, walk, 05
2025-06-16 10:08, 2025-06-16 14:23, 3, walk, 05, walk, 05
2025-06-16 10:53, 2025-06-16 14:13, 5, walk, 05, walk, 05
2025-06-16 10:53, 2025-06-16 14:23, 4, walk, 05, walk, 05
2025-06-16 11:08, 2025-06-16 15:13, 3, walk, 05, walk, 05
2025-06-16 11:53, 2025-06-16 15:18, 4, walk, 05, walk, 05
2025-06-16 11:53, 2025-06-16 15:23, 3, walk, 05, walk, 05
2025-06-16 12:08, 2025-06-16 16:13, 4, walk, 05, walk, 05
2025-06-16 12:08, 2025-06-16 16:23, 3, walk, 05, walk, 05
2025-06-16 12:53, 2025-06-16 16:18, 5, walk, 05, walk, 05
2025-06-16 12:53, 2025-06-16 16:23, 4, walk, 05, walk, 05
2025-06-16 13:08, 2025-06-16 17:12, 3, walk, 05, walk, 05
2025-06-16 13:14, 2025-06-16 17:18, 5, walk, 05, walk, 05
2025-06-16 14:08, 2025-06-16 18:16, 4, walk, 05, walk, 05
2025-06-16 14:08, 2025-06-16 18:18, 3, walk, 05, walk, 05
2025-06-16 15:08, 2025-06-16 19:16, 3, walk, 05, walk, 05
2025-06-16 15:14, 2025-06-16 19:16, 6, walk, 05, walk, 05
2025-06-16 15:14, 2025-06-16 19:18, 5, walk, 05, walk, 05
2025-06-16 16:08, 2025-06-16 20:16, 5, walk, 05, walk, 05
2025-06-16 16:08, 2025-06-16 20:18, 4, walk, 05, walk, 05
2025-06-16 17:08, 2025-06-16 21:10, 3, walk, 05, walk, 05
2025-06-16 18:08, 2025-06-16 22:11, 3, walk, 05, walk, 05
2025-06-16 19:08, 2025-06-16 23:44, 3, walk, 05, walk, 08
2025-06-16 20:15, 2025-06-16 23:44, 2, taxi, 15, walk, 08
