departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-15 04:00, 2025-06-15 07:18, 4, taxi, 15, walk, 06
2025-06-15 04:00, 2025-06-15 07:18, 4, taxi, 15, walk, 06
2025-06-15 04:00, 2025-06-15 07:20, 3, taxi, 15, walk, 08
2025-06-15 04:00, 2025-06-15 07:20, 3, taxi, 15, walk, 08
2025-06-15 04:00, 2025-06-15 08:18, 2, taxi, 15, walk, 05
2025-06-15 04:00, 2025-06-15 08:18, 2, taxi, 15, walk, 05
2025-06-15 05:15, 2025-06-15 08:46, 2, taxi, 15, walk, 05
2025-06-15 06:00, 2025-06-15 09:16, 4, taxi, 15, walk, 05
2025-06-15 06:00, 2025-06-15 09:18, 3, taxi, 15, walk, 05
2025-06-15 06:08, 2025-06-15 10:16, 4, walk, 05, walk, 05
2025-06-15 06:08, 2025-06-15 10:18, 3, walk, 05, walk, 05
2025-06-15 06:18, 2025-06-15 09:16, 3, taxi, 33, walk, 05
2025-06-15 06:18, 2025-06-15 09:18, 2, taxi, 33, walk, 05
2025-06-15 06:21, 2025-06-15 09:46, 2, taxi, 33, walk, 05
2025-06-15 07:00, 2025-06-15 10:16, 3, taxi, 15, walk, 05
2025-06-15 07:00, 2025-06-15 10:16, 3, taxi, 15, walk, 05
2025-06-15 07:00, 2025-06-15 10:18, 2, taxi, 15, walk, 05
2025-06-15 07:00, 2025-06-15 10:18, 2, taxi, 15, walk, 05
2025-06-15 07:15, 2025-06-15 10:46, 2, taxi, 15, walk, 05
2025-06-15 08:08, 2025-06-15 12:16, 4, walk, 05, walk, 05
2025-06-15 08:08, 2025-06-15 12:18, 3, walk, 05, walk, 05
2025-06-15 08:15, 2025-06-15 11:16, 2, taxi, 15, walk, 05
2025-06-15 08:21, 2025-06-15 11:16, 2, taxi, 34, walk, 05
2025-06-15 08:32, 2025-06-15 13:01, 3, walk, 05, walk, 06
2025-06-15 09:00, 2025-06-15 12:16, 3, taxi, 15, walk, 05
2025-06-15 09:00, 2025-06-15 12:16, 3, taxi, 15, walk, 05
2025-06-15 09:00, 2025-06-15 12:18, 2, taxi, 15, walk, 05
2025-06-15 09:15, 2025-06-15 12:46, 2, taxi, 15, walk, 05
2025-06-15 10:00, 2025-06-15 13:01, 2, taxi, 15, walk, 06
2025-06-15 10:08, 2025-06-15 14:16, 4, walk, 05, walk, 05
2025-06-15 10:08, 2025-06-15 14:18, 3, walk, 05, walk, 05
2025-06-15 10:15, 2025-06-15 13:16, 2, taxi, 15, walk, 05
2025-06-15 10:21, 2025-06-15 13:16, 2, taxi, 34, walk, 05
2025-06-15 11:00, 2025-06-15 14:16, 3, taxi, 15, walk, 05
2025-06-15 11:00, 2025-06-15 14:18, 2, taxi, 15, walk, 05
2025-06-15 11:15, 2025-06-15 14:46, 2, taxi, 15, walk, 05
2025-06-15 12:08, 2025-06-15 16:16, 4, walk, 05, walk, 05
2025-06-15 12:08, 2025-06-15 16:18, 3, walk, 05, walk, 05
2025-06-15 12:15, 2025-06-15 15:16, 2, taxi, 15, walk, 05
2025-06-15 12:21, 2025-06-15 15:16, 2, taxi, 34, walk, 05
2025-06-15 13:00, 2025-06-15 16:16, 3, taxi, 15, walk, 05
2025-06-15 13:00, 2025-06-15 16:16, 3, taxi, 15, walk, 05
2025-06-15 13:00, 2025-06-15 16:18, 2, taxi, 15, walk, 05
2025-06-15 13:00, 2025-06-15 16:18, 2, taxi, 15, walk, 05
2025-06-15 13:15, 2025-06-15 16:46, 2, taxi, 15, walk, 05
2025-06-15 14:08, 2025-06-15 18:16, 4, walk, 05, walk, 05
2025-06-15 14:08, 2025-06-15 18:18, 3, walk, 05, walk, 05
2025-06-15 14:15, 2025-06-15 17:16, 2, taxi, 15, walk, 05
2025-06-15 14:21, 2025-06-15 17:16, 2, taxi, 34, walk, 05
2025-06-15 15:00, 2025-06-15 18:16, 3, taxi, 15, walk, 05
2025-06-15 15:00, 2025-06-15 18:16, 3, taxi, 15, walk, 05
2025-06-15 15:00, 2025-06-15 18:18, 2, taxi, 15, walk, 05
2025-06-15 15:15, 2025-06-15 18:46, 2, taxi, 15, walk, 05
2025-06-15 16:08, 2025-06-15 20:18, 5, walk, 05, walk, 06
2025-06-15 16:08, 2025-06-15 20:20, 4, walk, 05, walk, 08
2025-06-15 16:08, 2025-06-15 21:10, 3, walk, 05, walk, 05
2025-06-15 16:15, 2025-06-15 19:16, 2, taxi, 15, walk, 05
2025-06-15 16:18, 2025-06-15 19:16, 3, taxi, 33, walk, 05
2025-06-15 16:18, 2025-06-15 19:18, 2, taxi, 33, walk, 05
2025-06-15 16:21, 2025-06-15 19:40, 2, taxi, 33, walk, 05
2025-06-15 17:00, 2025-06-15 20:18, 4, taxi, 15, walk, 06
2025-06-15 17:00, 2025-06-15 20:20, 3, taxi, 15, walk, 08
2025-06-15 17:00, 2025-06-15 20:20, 3, taxi, 15, walk, 08
2025-06-15 18:00, 2025-06-15 21:45, 4, taxi, 15, walk, 06
2025-06-15 18:15, 2025-06-15 21:10, 2, taxi, 15, walk, 05
2025-06-15 19:00, 2025-06-15 22:59, 5, taxi, 15, walk, 06
2025-06-15 19:15, 2025-06-15 22:11, 2, taxi, 15, walk, 05
2025-06-15 20:00, 2025-06-16 00:50, 4, taxi, 15, walk, 08
2025-06-15 20:15, 2025-06-15 23:44, 2, taxi, 15, walk, 08
