departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-15 04:00, 2025-06-15 07:20, 3, taxi, 15, walk, 08
2025-06-15 04:00, 2025-06-15 07:20, 3, taxi, 15, walk, 08
2025-06-15 05:15, 2025-06-15 08:46, 2, taxi, 15, walk, 05
2025-06-15 06:08, 2025-06-15 10:16, 4, walk, 05, walk, 05
2025-06-15 06:08, 2025-06-15 10:18, 3, walk, 05, walk, 05
2025-06-15 08:08, 2025-06-15 12:16, 4, walk, 05, walk, 05
2025-06-15 08:08, 2025-06-15 12:18, 3, walk, 05, walk, 05
2025-06-15 08:32, 2025-06-15 13:01, 3, walk, 05, walk, 06
2025-06-15 10:00, 2025-06-15 13:01, 2, taxi, 15, walk, 06
2025-06-15 10:08, 2025-06-15 14:16, 4, walk, 05, walk, 05
2025-06-15 10:08, 2025-06-15 14:18, 3, walk, 05, walk, 05
2025-06-15 12:08, 2025-06-15 16:16, 4, walk, 05, walk, 05
2025-06-15 12:08, 2025-06-15 16:18, 3, walk, 05, walk, 05
2025-06-15 14:08, 2025-06-15 18:16, 4, walk, 05, walk, 05
2025-06-15 14:08, 2025-06-15 18:18, 3, walk, 05, walk, 05
2025-06-15 16:08, 2025-06-15 20:18, 5, walk, 05, walk, 06
2025-06-15 16:08, 2025-06-15 20:20, 4, walk, 05, walk, 08
2025-06-15 16:08, 2025-06-15 21:10, 3, walk, 05, walk, 05
2025-06-15 18:15, 2025-06-15 21:10, 2, taxi, 15, walk, 05
2025-06-15 19:15, 2025-06-15 22:11, 2, taxi, 15, walk, 05
2025-06-15 20:15, 2025-06-15 23:44, 2, taxi, 15, walk, 08
