departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:00, 2025-06-16 02:22, 0, taxi, 22, walk, 00
2025-06-16 03:00, 2025-06-16 03:22, 0, taxi, 22, walk, 00
2025-06-16 03:08, 2025-06-16 03:41, 0, walk, 05, taxi, 17
2025-06-16 03:08, 2025-06-16 04:45, 1, walk, 05, walk, 13
2025-06-16 03:52, 2025-06-16 04:24, 0, walk, 05, taxi, 21
2025-06-16 03:52, 2025-06-16 04:45, 1, taxi, 11, walk, 13
2025-06-16 03:54, 2025-06-16 04:45, 0, taxi, 09, walk, 13
2025-06-16 03:54, 2025-06-16 05:35, 1, taxi, 09, walk, 13
2025-06-16 04:00, 2025-06-16 04:22, 0, taxi, 22, walk, 00
2025-06-16 04:08, 2025-06-16 04:41, 0, walk, 05, taxi, 17
2025-06-16 04:12, 2025-06-16 04:44, 0, walk, 06, taxi, 20
2025-06-16 04:18, 2025-06-16 04:50, 0, walk, 05, taxi, 21
2025-06-16 04:38, 2025-06-16 05:10, 0, walk, 05, taxi, 17
2025-06-16 04:38, 2025-06-16 05:11, 0, walk, 05, taxi, 17
2025-06-16 04:43, 2025-06-16 05:14, 0, walk, 05, taxi, 20
2025-06-16 04:43, 2025-06-16 05:46, 1, walk, 05, taxi, 13
2025-06-16 04:47, 2025-06-16 05:19, 0, walk, 05, taxi, 21
2025-06-16 05:00, 2025-06-16 05:22, 0, taxi, 22, walk, 00
2025-06-16 05:05, 2025-06-16 05:40, 0, walk, 05, taxi, 17
2025-06-16 05:13, 2025-06-16 05:45, 0, walk, 05, taxi, 21
2025-06-16 05:23, 2025-06-16 05:55, 0, walk, 06, taxi, 20
2025-06-16 05:35, 2025-06-16 06:10, 0, walk, 05, taxi, 17
2025-06-16 05:43, 2025-06-16 06:14, 0, walk, 05, taxi, 20
2025-06-16 05:43, 2025-06-16 06:42, 1, walk, 05, taxi, 05
2025-06-16 05:43, 2025-06-16 06:45, 1, walk, 05, walk, 13
2025-06-16 05:52, 2025-06-16 06:24, 0, walk, 05, taxi, 21
2025-06-16 05:54, 2025-06-16 06:45, 0, taxi, 09, walk, 13
2025-06-16 05:54, 2025-06-16 07:35, 1, taxi, 09, walk, 13
2025-06-16 06:00, 2025-06-16 06:22, 0, taxi, 22, walk, 00
2025-06-16 06:08, 2025-06-16 06:41, 0, walk, 05, taxi, 17
2025-06-16 06:52, 2025-06-16 07:24, 0, walk, 05, taxi, 21
2025-06-16 07:00, 2025-06-16 07:22, 0, taxi, 22, walk, 00
2025-06-16 07:08, 2025-06-16 07:41, 0, walk, 05, taxi, 17
2025-06-16 07:18, 2025-06-16 07:50, 0, walk, 05, taxi, 21
2025-06-16 07:28, 2025-06-16 08:00, 0, walk, 06, taxi, 20
2025-06-16 07:52, 2025-06-16 08:24, 0, walk, 05, taxi, 21
2025-06-16 08:00, 2025-06-16 08:22, 0, taxi, 22, walk, 00
2025-06-16 08:08, 2025-06-16 08:41, 0, walk, 05, taxi, 17
2025-06-16 08:08, 2025-06-16 09:16, 1, walk, 05, walk, 13
2025-06-16 08:25, 2025-06-16 09:16, 0, taxi, 09, walk, 13
2025-06-16 08:25, 2025-06-16 09:52, 1, taxi, 09, walk, 13
2025-06-16 08:40, 2025-06-16 09:12, 0, walk, 06, taxi, 20
2025-06-16 08:52, 2025-06-16 09:24, 0, walk, 05, taxi, 21
2025-06-16 09:00, 2025-06-16 09:22, 0, taxi, 22, walk, 00
2025-06-16 09:08, 2025-06-16 09:41, 0, walk, 05, taxi, 17
2025-06-16 09:12, 2025-06-16 09:52, 0, taxi, 12, walk, 13
2025-06-16 09:12, 2025-06-16 10:29, 1, taxi, 12, walk, 13
2025-06-16 09:14, 2025-06-16 09:46, 0, walk, 05, taxi, 21
2025-06-16 09:52, 2025-06-16 10:24, 0, walk, 05, taxi, 21
2025-06-16 09:53, 2025-06-16 10:24, 0, walk, 05, taxi, 17
2025-06-16 09:53, 2025-06-16 10:45, 1, walk, 05, walk, 13
2025-06-16 09:54, 2025-06-16 10:45, 0, taxi, 09, walk, 13
2025-06-16 09:54, 2025-06-16 11:03, 1, taxi, 09, walk, 13
2025-06-16 09:56, 2025-06-16 10:45, 1, taxi, 17, walk, 13
2025-06-16 10:00, 2025-06-16 10:22, 0, taxi, 22, walk, 00
2025-06-16 10:08, 2025-06-16 10:41, 0, walk, 05, taxi, 17
2025-06-16 10:40, 2025-06-16 11:12, 0, walk, 06, taxi, 20
2025-06-16 10:52, 2025-06-16 11:24, 0, walk, 05, taxi, 21
2025-06-16 10:53, 2025-06-16 11:24, 0, walk, 05, taxi, 17
2025-06-16 10:53, 2025-06-16 11:45, 1, walk, 05, walk, 13
2025-06-16 10:54, 2025-06-16 11:45, 0, taxi, 09, walk, 13
2025-06-16 10:54, 2025-06-16 12:29, 1, taxi, 09, walk, 13
2025-06-16 11:00, 2025-06-16 11:22, 0, taxi, 22, walk, 00
2025-06-16 11:08, 2025-06-16 11:41, 0, walk, 05, taxi, 17
2025-06-16 11:14, 2025-06-16 11:46, 0, walk, 05, taxi, 21
