departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:00, 2025-06-16 02:22, 0, taxi, 22, walk, 00
2025-06-16 03:08, 2025-06-16 03:41, 0, walk, 05, taxi, 17
2025-06-16 03:08, 2025-06-16 04:45, 1, walk, 05, walk, 13
2025-06-16 03:54, 2025-06-16 04:45, 0, taxi, 09, walk, 13
2025-06-16 04:38, 2025-06-16 05:10, 0, walk, 05, taxi, 17
2025-06-16 04:38, 2025-06-16 05:11, 0, walk, 05, taxi, 17
2025-06-16 04:43, 2025-06-16 05:14, 0, walk, 05, taxi, 20
2025-06-16 05:05, 2025-06-16 05:40, 0, walk, 05, taxi, 17
2025-06-16 05:43, 2025-06-16 06:45, 1, walk, 05, walk, 13
2025-06-16 07:08, 2025-06-16 07:41, 0, walk, 05, taxi, 17
2025-06-16 07:18, 2025-06-16 07:50, 0, walk, 05, taxi, 21
2025-06-16 07:28, 2025-06-16 08:00, 0, walk, 06, taxi, 20
2025-06-16 08:08, 2025-06-16 09:16, 1, walk, 05, walk, 13
2025-06-16 09:53, 2025-06-16 10:45, 1, walk, 05, walk, 13
2025-06-16 10:53, 2025-06-16 11:45, 1, walk, 05, walk, 13
2025-06-16 11:53, 2025-06-16 12:45, 1, walk, 05, walk, 13
2025-06-16 12:53, 2025-06-16 13:45, 1, walk, 05, walk, 13
2025-06-16 14:08, 2025-06-16 14:41, 0, walk, 05, taxi, 17
2025-06-16 14:08, 2025-06-16 15:47, 1, walk, 05, walk, 13
2025-06-16 14:54, 2025-06-16 15:47, 0, taxi, 09, walk, 13
2025-06-16 15:08, 2025-06-16 16:45, 1, walk, 05, walk, 13
2025-06-16 15:54, 2025-06-16 16:45, 0, taxi, 09, walk, 13
2025-06-16 17:00, 2025-06-16 17:22, 0, taxi, 22, walk, 00
2025-06-16 17:08, 2025-06-16 17:41, 0, walk, 05, taxi, 17
2025-06-16 18:00, 2025-06-16 18:22, 0, taxi, 22, walk, 00
2025-06-16 18:08, 2025-06-16 18:41, 0, walk, 05, taxi, 17
2025-06-16 19:00, 2025-06-16 19:22, 0, taxi, 22, walk, 00
2025-06-16 19:08, 2025-06-16 19:41, 0, walk, 05, taxi, 17
2025-06-16 20:00, 2025-06-16 20:22, 0, taxi, 22, walk, 00
