departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:08, 2025-06-16 05:13, 2, taxi, 17, walk, 05
2025-06-16 02:26, 2025-06-16 05:18, 3, taxi, 05, walk, 05
2025-06-16 02:26, 2025-06-16 05:23, 2, taxi, 05, walk, 05
2025-06-16 02:27, 2025-06-16 05:13, 2, taxi, 28, walk, 05
2025-06-16 02:29, 2025-06-16 06:13, 3, walk, 09, walk, 05
2025-06-16 02:45, 2025-06-16 05:43, 2, taxi, 27, walk, 05
2025-06-16 03:19, 2025-06-16 06:13, 2, taxi, 05, walk, 05
2025-06-16 03:21, 2025-06-16 06:18, 3, taxi, 05, walk, 05
2025-06-16 03:21, 2025-06-16 06:23, 2, taxi, 05, walk, 05
2025-06-16 03:26, 2025-06-16 06:18, 4, taxi, 05, walk, 05
2025-06-16 03:26, 2025-06-16 06:23, 3, taxi, 05, walk, 05
2025-06-16 03:27, 2025-06-16 06:13, 2, taxi, 28, walk, 05
2025-06-16 04:14, 2025-06-16 07:18, 4, walk, 09, walk, 05
2025-06-16 04:14, 2025-06-16 07:23, 3, walk, 09, walk, 05
2025-06-16 04:19, 2025-06-16 07:13, 2, taxi, 05, walk, 05
2025-06-16 04:26, 2025-06-16 07:18, 3, taxi, 05, walk, 05
2025-06-16 04:26, 2025-06-16 07:23, 2, taxi, 05, walk, 05
2025-06-16 04:27, 2025-06-16 07:13, 2, taxi, 28, walk, 05
2025-06-16 04:29, 2025-06-16 08:13, 4, walk, 09, walk, 05
2025-06-16 04:29, 2025-06-16 08:23, 3, walk, 09, walk, 05
2025-06-16 05:15, 2025-06-16 08:18, 5, walk, 09, walk, 05
2025-06-16 05:15, 2025-06-16 08:23, 4, walk, 09, walk, 05
2025-06-16 05:19, 2025-06-16 08:13, 3, taxi, 05, walk, 05
2025-06-16 05:19, 2025-06-16 09:13, 3, walk, 10, walk, 05
2025-06-16 05:20, 2025-06-16 08:18, 4, taxi, 05, walk, 05
2025-06-16 05:20, 2025-06-16 08:23, 3, taxi, 05, walk, 05
2025-06-16 05:21, 2025-06-16 08:18, 3, taxi, 05, walk, 05
2025-06-16 05:21, 2025-06-16 08:23, 2, taxi, 05, walk, 05
2025-06-16 05:27, 2025-06-16 08:13, 3, taxi, 28, walk, 05
2025-06-16 06:14, 2025-06-16 09:18, 4, walk, 09, walk, 05
2025-06-16 06:14, 2025-06-16 09:23, 3, walk, 09, walk, 05
2025-06-16 06:19, 2025-06-16 09:13, 2, taxi, 05, walk, 05
2025-06-16 06:26, 2025-06-16 09:18, 3, taxi, 05, walk, 05
2025-06-16 06:26, 2025-06-16 09:23, 2, taxi, 05, walk, 05
2025-06-16 06:27, 2025-06-16 09:13, 2, taxi, 28, walk, 05
2025-06-16 06:29, 2025-06-16 10:13, 4, walk, 09, walk, 05
2025-06-16 06:29, 2025-06-16 10:23, 3, walk, 09, walk, 05
2025-06-16 07:19, 2025-06-16 10:13, 3, taxi, 05, walk, 05
2025-06-16 07:21, 2025-06-16 10:18, 3, taxi, 05, walk, 05
2025-06-16 07:21, 2025-06-16 10:23, 2, taxi, 05, walk, 05
2025-06-16 07:26, 2025-06-16 10:18, 4, taxi, 05, walk, 05
2025-06-16 07:26, 2025-06-16 10:23, 3, taxi, 05, walk, 05
2025-06-16 07:27, 2025-06-16 10:13, 3, taxi, 28, walk, 05
2025-06-16 07:27, 2025-06-16 10:22, 2, taxi, 28, walk, 06
2025-06-16 08:14, 2025-06-16 11:18, 4, walk, 09, walk, 05
2025-06-16 08:14, 2025-06-16 11:23, 3, walk, 09, walk, 05
2025-06-16 08:19, 2025-06-16 11:13, 2, taxi, 05, walk, 05
2025-06-16 08:26, 2025-06-16 11:18, 3, taxi, 05, walk, 05
2025-06-16 08:26, 2025-06-16 11:23, 2, taxi, 05, walk, 05
2025-06-16 08:27, 2025-06-16 11:13, 2, taxi, 28, walk, 05
2025-06-16 08:29, 2025-06-16 12:13, 4, walk, 09, walk, 05
2025-06-16 09:19, 2025-06-16 12:13, 3, taxi, 05, walk, 05
2025-06-16 09:21, 2025-06-16 12:18, 3, taxi, 05, walk, 05
2025-06-16 09:21, 2025-06-16 12:23, 2, taxi, 05, walk, 05
2025-06-16 09:25, 2025-06-16 12:18, 4, taxi, 04, walk, 05
2025-06-16 09:25, 2025-06-16 12:23, 3, taxi, 04, walk, 05
2025-06-16 09:26, 2025-06-16 12:18, 4, walk, 09, walk, 05
2025-06-16 09:26, 2025-06-16 12:23, 3, walk, 09, walk, 05
2025-06-16 09:27, 2025-06-16 12:13, 3, taxi, 28, walk, 05
2025-06-16 10:21, 2025-06-16 13:02, 2, taxi, 05, walk, 06
2025-06-16 10:25, 2025-06-16 13:18, 3, taxi, 04, walk, 05
2025-06-16 10:25, 2025-06-16 13:23, 2, taxi, 04, walk, 05
2025-06-16 10:26, 2025-06-16 13:18, 3, walk, 09, walk, 05
