departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:26, 2025-06-16 05:18, 3, taxi, 05, walk, 05
2025-06-16 02:26, 2025-06-16 05:23, 2, taxi, 05, walk, 05
2025-06-16 02:29, 2025-06-16 06:13, 3, walk, 09, walk, 05
2025-06-16 03:19, 2025-06-16 06:13, 2, taxi, 05, walk, 05
2025-06-16 04:14, 2025-06-16 07:18, 4, walk, 09, walk, 05
2025-06-16 04:14, 2025-06-16 07:23, 3, walk, 09, walk, 05
2025-06-16 04:29, 2025-06-16 08:13, 4, walk, 09, walk, 05
2025-06-16 04:29, 2025-06-16 08:23, 3, walk, 09, walk, 05
2025-06-16 05:15, 2025-06-16 08:18, 5, walk, 09, walk, 05
2025-06-16 05:15, 2025-06-16 08:23, 4, walk, 09, walk, 05
2025-06-16 05:19, 2025-06-16 09:13, 3, walk, 10, walk, 05
2025-06-16 06:14, 2025-06-16 09:18, 4, walk, 09, walk, 05
2025-06-16 06:14, 2025-06-16 09:23, 3, walk, 09, walk, 05
2025-06-16 06:29, 2025-06-16 10:13, 4, walk, 09, walk, 05
2025-06-16 06:29, 2025-06-16 10:23, 3, walk, 09, walk, 05
2025-06-16 07:19, 2025-06-16 10:13, 3, taxi, 05, walk, 05
2025-06-16 07:21, 2025-06-16 10:18, 3, taxi, 05, walk, 05
2025-06-16 07:21, 2025-06-16 10:23, 2, taxi, 05, walk, 05
2025-06-16 07:26, 2025-06-16 10:23, 3, taxi, 05, walk, 05
2025-06-16 08:14, 2025-06-16 11:18, 4, walk, 09, walk, 05
2025-06-16 08:14, 2025-06-16 11:23, 3, walk, 09, walk, 05
2025-06-16 08:29, 2025-06-16 12:13, 4, walk, 09, walk, 05
2025-06-16 09:26, 2025-06-16 12:18, 4, walk, 09, walk, 05
2025-06-16 09:26, 2025-06-16 12:23, 3, walk, 09, walk, 05
2025-06-16 10:26, 2025-06-16 13:18, 3, walk, 09, walk, 05
2025-06-16 10:26, 2025-06-16 13:23, 2, walk, 09, walk, 05
2025-06-16 10:28, 2025-06-16 14:13, 4, walk, 10, walk, 05
2025-06-16 11:26, 2025-06-16 14:18, 4, walk, 09, walk, 05
2025-06-16 11:26, 2025-06-16 14:23, 3, walk, 09, walk, 05
2025-06-16 11:34, 2025-06-16 15:13, 3, walk, 09, walk, 05
2025-06-16 12:26, 2025-06-16 15:18, 3, walk, 09, walk, 05
2025-06-16 12:26, 2025-06-16 15:23, 2, walk, 09, walk, 05
2025-06-16 12:33, 2025-06-16 16:13, 4, walk, 10, walk, 05
2025-06-16 13:26, 2025-06-16 16:18, 4, walk, 09, walk, 05
2025-06-16 13:26, 2025-06-16 16:23, 3, walk, 09, walk, 05
2025-06-16 13:26, 2025-06-16 17:18, 2, walk, 09, walk, 05
2025-06-16 13:28, 2025-06-16 17:12, 3, walk, 10, walk, 05
2025-06-16 14:14, 2025-06-16 17:18, 3, walk, 09, walk, 05
2025-06-16 14:29, 2025-06-16 18:16, 4, walk, 09, walk, 05
2025-06-16 14:29, 2025-06-16 18:18, 3, walk, 09, walk, 05
2025-06-16 15:14, 2025-06-16 18:16, 5, walk, 09, walk, 05
2025-06-16 15:14, 2025-06-16 18:18, 4, walk, 09, walk, 05
2025-06-16 15:29, 2025-06-16 19:16, 3, walk, 09, walk, 05
2025-06-16 16:14, 2025-06-16 19:16, 4, walk, 09, walk, 05
2025-06-16 16:14, 2025-06-16 19:18, 3, walk, 09, walk, 05
2025-06-16 16:30, 2025-06-16 20:16, 5, walk, 10, walk, 05
2025-06-16 16:30, 2025-06-16 20:18, 4, walk, 10, walk, 05
2025-06-16 16:30, 2025-06-16 21:10, 3, walk, 10, walk, 05
2025-06-16 17:21, 2025-06-16 20:18, 3, taxi, 05, walk, 05
2025-06-16 18:19, 2025-06-16 21:10, 2, taxi, 05, walk, 05
2025-06-16 19:19, 2025-06-16 22:11, 2, taxi, 05, walk, 05
2025-06-16 20:19, 2025-06-16 23:44, 2, taxi, 05, walk, 08
