departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-14 20:32, 2025-06-15 04:20, 3, taxi, 27, walk, 08
2025-06-15 04:21, 2025-06-15 07:20, 3, taxi, 05, walk, 08
2025-06-15 06:13, 2025-06-15 09:16, 4, walk, 09, walk, 05
2025-06-15 06:13, 2025-06-15 09:18, 3, walk, 09, walk, 05
2025-06-15 06:31, 2025-06-15 10:16, 4, walk, 09, walk, 05
2025-06-15 06:31, 2025-06-15 10:18, 3, walk, 09, walk, 05
2025-06-15 07:21, 2025-06-15 10:18, 2, taxi, 05, walk, 05
2025-06-15 08:19, 2025-06-15 11:16, 2, taxi, 05, walk, 05
2025-06-15 08:26, 2025-06-15 11:18, 2, taxi, 05, walk, 05
2025-06-15 09:21, 2025-06-15 12:18, 2, taxi, 05, walk, 05
2025-06-15 10:21, 2025-06-15 13:01, 2, taxi, 05, walk, 06
2025-06-15 10:31, 2025-06-15 14:16, 4, walk, 09, walk, 05
2025-06-15 10:31, 2025-06-15 14:18, 3, walk, 09, walk, 05
2025-06-15 11:21, 2025-06-15 14:18, 2, taxi, 05, walk, 05
2025-06-15 12:19, 2025-06-15 15:16, 2, taxi, 05, walk, 05
2025-06-15 12:26, 2025-06-15 15:18, 2, taxi, 05, walk, 05
2025-06-15 13:21, 2025-06-15 16:18, 2, taxi, 05, walk, 05
2025-06-15 14:13, 2025-06-15 17:16, 4, walk, 09, walk, 05
2025-06-15 14:13, 2025-06-15 17:18, 3, walk, 09, walk, 05
2025-06-15 14:31, 2025-06-15 18:16, 4, walk, 09, walk, 05
2025-06-15 14:31, 2025-06-15 18:18, 3, walk, 09, walk, 05
2025-06-15 15:21, 2025-06-15 18:18, 2, taxi, 05, walk, 05
2025-06-15 16:19, 2025-06-15 19:16, 2, taxi, 05, walk, 05
2025-06-15 17:21, 2025-06-15 20:20, 3, taxi, 05, walk, 08
2025-06-15 18:19, 2025-06-15 21:10, 2, taxi, 05, walk, 05
2025-06-15 19:19, 2025-06-15 22:11, 2, taxi, 05, walk, 05
2025-06-15 20:19, 2025-06-15 23:44, 2, taxi, 05, walk, 08
