departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:00, 2025-06-16 02:41, 0, taxi, 41, walk, 00
2025-06-16 02:29, 2025-06-16 04:45, 1, walk, 09, walk, 03
2025-06-16 02:29, 2025-06-16 03:37, 0, walk, 09, taxi, 27
2025-06-16 03:00, 2025-06-16 03:41, 0, taxi, 41, walk, 00
2025-06-16 03:39, 2025-06-16 04:45, 0, taxi, 17, walk, 03
2025-06-16 04:00, 2025-06-16 04:41, 0, taxi, 41, walk, 00
2025-06-16 04:14, 2025-06-16 05:22, 1, walk, 09, taxi, 27
2025-06-16 04:29, 2025-06-16 05:37, 0, walk, 09, taxi, 27
2025-06-16 05:00, 2025-06-16 05:41, 0, taxi, 41, walk, 00
2025-06-16 05:07, 2025-06-16 06:07, 0, walk, 10, taxi, 22
2025-06-16 05:15, 2025-06-16 06:23, 1, walk, 09, taxi, 27
2025-06-16 05:19, 2025-06-16 06:45, 1, walk, 10, walk, 03
2025-06-16 05:19, 2025-06-16 06:29, 0, walk, 10, taxi, 27
2025-06-16 05:39, 2025-06-16 06:45, 0, taxi, 17, walk, 03
2025-06-16 06:00, 2025-06-16 06:41, 0, taxi, 41, walk, 00
2025-06-16 06:29, 2025-06-16 09:16, 1, walk, 09, walk, 03
2025-06-16 06:29, 2025-06-16 07:37, 0, walk, 09, taxi, 27
2025-06-16 07:00, 2025-06-16 07:41, 0, taxi, 41, walk, 00
2025-06-16 08:00, 2025-06-16 08:41, 0, taxi, 41, walk, 00
2025-06-16 08:10, 2025-06-16 09:16, 0, taxi, 17, walk, 03
2025-06-16 08:19, 2025-06-16 10:43, 2, taxi, 05, walk, 03
2025-06-16 08:29, 2025-06-16 09:37, 0, walk, 09, taxi, 27
2025-06-16 08:57, 2025-06-16 09:52, 0, taxi, 27, walk, 03
2025-06-16 09:00, 2025-06-16 09:41, 0, taxi, 41, walk, 00
2025-06-16 09:25, 2025-06-16 10:23, 0, walk, 09, taxi, 27
2025-06-16 09:25, 2025-06-16 10:45, 1, walk, 09, walk, 03
2025-06-16 09:26, 2025-06-16 11:07, 1, walk, 09, taxi, 27
2025-06-16 09:29, 2025-06-16 10:31, 0, walk, 10, taxi, 37
2025-06-16 09:39, 2025-06-16 10:45, 0, taxi, 17, walk, 03
2025-06-16 10:00, 2025-06-16 10:41, 0, taxi, 41, walk, 00
2025-06-16 10:24, 2025-06-16 11:22, 0, walk, 09, taxi, 27
2025-06-16 10:28, 2025-06-16 11:37, 0, walk, 10, taxi, 27
2025-06-16 10:28, 2025-06-16 11:45, 1, walk, 10, walk, 03
2025-06-16 10:39, 2025-06-16 11:45, 0, taxi, 17, walk, 03
2025-06-16 11:00, 2025-06-16 11:41, 0, taxi, 41, walk, 00
2025-06-16 11:17, 2025-06-16 12:17, 0, walk, 10, taxi, 26
2025-06-16 11:28, 2025-06-16 12:45, 1, walk, 10, walk, 03
2025-06-16 11:34, 2025-06-16 12:32, 0, walk, 09, taxi, 27
2025-06-16 11:39, 2025-06-16 12:45, 0, taxi, 17, walk, 03
2025-06-16 12:00, 2025-06-16 12:41, 0, taxi, 41, walk, 00
2025-06-16 12:17, 2025-06-16 13:17, 0, walk, 10, taxi, 26
2025-06-16 12:24, 2025-06-16 13:45, 1, walk, 09, walk, 03
2025-06-16 12:24, 2025-06-16 13:22, 0, walk, 09, taxi, 27
2025-06-16 12:33, 2025-06-16 15:43, 3, walk, 10, walk, 03
2025-06-16 12:33, 2025-06-16 13:42, 0, walk, 10, taxi, 27
2025-06-16 12:39, 2025-06-16 13:45, 0, taxi, 17, walk, 03
2025-06-16 13:00, 2025-06-16 13:41, 0, taxi, 41, walk, 00
2025-06-16 13:03, 2025-06-16 15:43, 3, taxi, 27, walk, 03
2025-06-16 13:17, 2025-06-16 14:17, 0, walk, 10, taxi, 26
2025-06-16 13:19, 2025-06-16 15:43, 2, taxi, 05, walk, 03
2025-06-16 13:25, 2025-06-16 14:23, 0, walk, 09, taxi, 27
2025-06-16 13:28, 2025-06-16 14:37, 0, walk, 10, taxi, 27
2025-06-16 14:00, 2025-06-16 14:41, 0, taxi, 41, walk, 00
2025-06-16 14:29, 2025-06-16 15:47, 1, walk, 09, walk, 03
2025-06-16 14:29, 2025-06-16 15:37, 0, walk, 09, taxi, 27
2025-06-16 14:39, 2025-06-16 15:47, 0, taxi, 17, walk, 03
2025-06-16 15:00, 2025-06-16 15:41, 0, taxi, 41, walk, 00
2025-06-16 15:14, 2025-06-16 16:23, 1, walk, 09, taxi, 27
2025-06-16 15:29, 2025-06-16 16:37, 0, walk, 09, taxi, 27
2025-06-16 15:29, 2025-06-16 16:45, 1, walk, 09, walk, 03
2025-06-16 15:39, 2025-06-16 16:45, 0, taxi, 17, walk, 03
2025-06-16 16:00, 2025-06-16 16:41, 0, taxi, 41, walk, 00
2025-06-16 16:19, 2025-06-17 04:15, 2, taxi, 05, walk, 03
2025-06-16 16:27, 2025-06-17 04:15, 3, taxi, 27, walk, 03
2025-06-16 16:30, 2025-06-16 17:39, 0, walk, 10, taxi, 27
2025-06-16 17:00, 2025-06-16 17:41, 0, taxi, 41, walk, 00
2025-06-16 18:00, 2025-06-16 18:41, 0, taxi, 41, walk, 00
2025-06-16 19:00, 2025-06-16 19:41, 0, taxi, 41, walk, 00
2025-06-16 20:00, 2025-06-16 20:41, 0, taxi, 41, walk, 00
