departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-16 02:00, 2025-06-16 02:41, 0, taxi, 41, walk, 00
2025-06-16 02:29, 2025-06-16 04:45, 1, walk, 09, walk, 03
2025-06-16 03:39, 2025-06-16 04:45, 0, taxi, 17, walk, 03
2025-06-16 05:19, 2025-06-16 06:45, 1, walk, 10, walk, 03
2025-06-16 06:29, 2025-06-16 09:16, 1, walk, 09, walk, 03
2025-06-16 09:25, 2025-06-16 10:45, 1, walk, 09, walk, 03
2025-06-16 10:28, 2025-06-16 11:45, 1, walk, 10, walk, 03
2025-06-16 11:28, 2025-06-16 12:45, 1, walk, 10, walk, 03
2025-06-16 12:24, 2025-06-16 13:45, 1, walk, 09, walk, 03
2025-06-16 12:33, 2025-06-16 15:43, 3, walk, 10, walk, 03
2025-06-16 14:29, 2025-06-16 15:47, 1, walk, 09, walk, 03
2025-06-16 15:29, 2025-06-16 16:45, 1, walk, 09, walk, 03
2025-06-16 17:00, 2025-06-16 17:41, 0, taxi, 41, walk, 00
2025-06-16 18:00, 2025-06-16 18:41, 0, taxi, 41, walk, 00
2025-06-16 19:00, 2025-06-16 19:41, 0, taxi, 41, walk, 00
2025-06-16 20:00, 2025-06-16 20:41, 0, taxi, 41, walk, 00
