departure, arrival, transfers, first_mile_mode, first_mile_duration, last_mile_mode, last_mile_duration
2025-06-15 02:00, 2025-06-15 02:41, 0, taxi, 41, walk, 00
2025-06-15 03:00, 2025-06-15 03:41, 0, taxi, 41, walk, 00
2025-06-15 04:00, 2025-06-15 04:41, 0, taxi, 41, walk, 00
2025-06-15 05:00, 2025-06-15 05:41, 0, taxi, 41, walk, 00
2025-06-15 06:00, 2025-06-15 06:41, 0, taxi, 41, walk, 00
2025-06-15 06:31, 2025-06-15 07:39, 0, walk, 09, taxi, 27
2025-06-15 07:00, 2025-06-15 07:41, 0, taxi, 41, walk, 00
2025-06-15 08:00, 2025-06-15 08:41, 0, taxi, 41, walk, 00
2025-06-15 09:00, 2025-06-15 09:41, 0, taxi, 41, walk, 00
2025-06-15 10:00, 2025-06-15 10:41, 0, taxi, 41, walk, 00
2025-06-15 10:31, 2025-06-15 11:39, 0, walk, 09, taxi, 27
2025-06-15 11:00, 2025-06-15 11:41, 0, taxi, 41, walk, 00
2025-06-15 12:00, 2025-06-15 12:41, 0, taxi, 41, walk, 00
2025-06-15 13:00, 2025-06-15 13:41, 0, taxi, 41, walk, 00
2025-06-15 14:00, 2025-06-15 14:41, 0, taxi, 41, walk, 00
2025-06-15 14:31, 2025-06-15 15:39, 0, walk, 09, taxi, 27
2025-06-15 15:00, 2025-06-15 15:41, 0, taxi, 41, walk, 00
2025-06-15 16:00, 2025-06-15 16:41, 0, taxi, 41, walk, 00
2025-06-15 17:00, 2025-06-15 17:41, 0, taxi, 41, walk, 00
2025-06-15 18:00, 2025-06-15 18:41, 0, taxi, 41, walk, 00
2025-06-15 19:00, 2025-06-15 19:41, 0, taxi, 41, walk, 00
2025-06-15 20:00, 2025-06-15 20:41, 0, taxi, 41, walk, 00
